1. Li'SE'Li after 0.5 mAh plating GEIS,,
,,
Frequency,Zreal,-Zim
Hz,Ohm,Ohm
1000000,6.55,-1.17
955000,6.57,-1.1
912000,6.56,-1.05
871000,6.57,-0.986
832000,6.58,-0.946
794000,6.59,-0.899
759000,6.58,-0.842
724000,6.59,-0.795
692000,6.6,-0.764
661000,6.6,-0.728
631000,6.61,-0.688
603000,6.62,-0.647
575000,6.63,-0.62
550000,6.63,-0.589
525000,6.63,-0.56
501000,6.64,-0.53
479000,6.64,-0.499
457000,6.65,-0.474
437000,6.65,-0.452
417000,6.66,-0.426
398000,6.66,-0.404
380000,6.66,-0.387
363000,6.66,-0.36
347000,6.67,-0.344
331000,6.67,-0.326
316000,6.68,-0.309
302000,6.68,-0.293
288000,6.68,-0.276
275000,6.68,-0.262
263000,6.69,-0.247
251000,6.69,-0.228
240000,6.69,-0.217
229000,6.7,-0.206
219000,6.7,-0.194
209000,6.7,-0.183
200000,6.71,-0.173
191000,6.71,-0.164
182000,6.71,-0.151
174000,6.71,-0.144
166000,6.71,-0.135
158000,6.72,-0.126
151000,6.72,-0.117
145000,6.72,-0.11
138000,6.74,-0.116
132000,6.74,-0.104
126000,6.73,-0.0863
120000,6.73,-0.0768
115000,6.74,-0.0775
110000,6.74,-0.0749
105000,6.75,-0.069
100000,6.74,-0.0555
95500,6.74,-0.0474
91200,6.74,-0.0497
87100,6.75,-0.0481
83200,6.74,-0.0296
79400,6.75,-0.0303
75900,6.76,-0.0311
72400,6.76,-0.0254
69200,6.76,-0.0247
66100,6.76,-0.0208
63100,6.76,-0.00324
60300,6.76,-0.0148
57500,6.77,-0.00847
55000,6.76,-0.00586
52500,6.78,-0.00512
50100,6.77,0.00152
47900,6.78,-0.0014
45700,6.78,0.00159
43700,6.78,0.012
41700,6.79,0.00605
39800,6.78,0.0159
38000,6.78,0.00724
36300,6.79,0.0163
34700,6.79,0.0187
33100,6.79,0.0203
31600,6.79,0.0201
30200,6.8,0.0238
28800,6.8,0.0232
27500,6.8,0.0251
26300,6.8,0.0261
25100,6.81,0.0315
24000,6.81,0.0304
22900,6.81,0.0326
21900,6.81,0.0351
20900,6.81,0.0349
20000,6.82,0.0369
19100,6.82,0.0374
18200,6.82,0.0387
17400,6.82,0.0396
16600,6.83,0.0421
15800,6.83,0.0409
15100,6.83,0.0443
14500,6.83,0.0443
13800,6.83,0.0462
13200,6.84,0.0459
12600,6.84,0.0467
12000,6.88,0.088
11500,6.84,0.0573
11000,6.93,-0.364
10500,6.78,0.101
10000,6.89,-0.0435
9550,6.84,0.239
9120,6.76,0.0182
8710,6.94,-0.175
8320,6.79,0.0056
7940,6.84,0.0769
7590,6.92,0.0313
7240,6.95,0.0335
6920,6.9,0.103
6610,6.87,-0.0147
6310,6.86,0.117
6030,6.82,0.0104
5750,6.86,0.0685
5500,6.91,0.0349
5250,6.88,0.0717
5010,6.88,0.132
4790,6.89,0.0286
4570,6.9,0.0395
4370,6.86,0.127
4170,6.9,0.0407
3980,6.89,0.0169
3800,6.91,0.088
3630,6.88,0.0516
3470,6.9,0.0933
3310,6.88,0.0715
3160,6.86,0.0658
3020,6.88,0.0841
2880,6.89,0.0648
2750,6.89,0.0725
2630,6.9,0.0729
2510,6.9,0.0885
2400,6.88,0.0726
2290,6.92,0.0947
2190,6.91,0.078
2090,6.9,0.0794
2000,6.91,0.0843
1910,6.92,0.085
1820,6.92,0.0904
1740,6.92,0.0864
1660,6.93,0.0886
1580,6.92,0.0904
1510,6.93,0.0933
1450,6.93,0.0945
1380,6.94,0.0947
1320,6.94,0.0951
1260,6.94,0.0962
1200,6.94,0.0999
1150,6.95,0.1
1100,6.95,0.102
1050,6.95,0.102
1000,6.95,0.106
955,6.96,0.105
912,6.96,0.109
871,6.96,0.11
832,6.97,0.109
794,6.97,0.112
759,6.97,0.114
724,6.98,0.117
692,6.98,0.118
661,6.98,0.119
631,6.99,0.121
603,6.99,0.123
575,6.99,0.13
550,7,0.125
525,7,0.128
501,7.01,0.13
479,7.01,0.132
457,7.01,0.134
437,7.02,0.137
417,7.02,0.139
398,7.02,0.141
380,7.03,0.142
363,7.03,0.144
347,7.04,0.148
