1. Li'SE'Li after 0.5 mAh plating PEIS,,
,,
Frequency,Zreal,-Zim
Hz,Ohm,Ohm
1000000,7.71,-1.15
955000,7.72,-1.1
912000,7.73,-1.04
871000,7.73,-0.981
832000,7.73,-0.937
794000,7.72,-0.885
759000,7.73,-0.843
724000,7.74,-0.801
692000,7.74,-0.758
661000,7.74,-0.73
631000,7.75,-0.685
603000,7.76,-0.656
575000,7.75,-0.615
550000,7.75,-0.579
525000,7.77,-0.562
501000,7.76,-0.528
479000,7.76,-0.497
457000,7.77,-0.487
437000,7.78,-0.451
417000,7.77,-0.425
398000,7.78,-0.407
380000,7.79,-0.379
363000,7.79,-0.37
347000,7.79,-0.351
331000,7.78,-0.329
316000,7.79,-0.317
302000,7.79,-0.297
288000,7.82,-0.251
275000,7.83,-0.239
263000,7.83,-0.225
251000,7.83,-0.212
240000,7.83,-0.201
229000,7.84,-0.19
219000,7.84,-0.182
209000,7.85,-0.17
200000,7.85,-0.164
191000,7.85,-0.151
182000,7.85,-0.148
174000,7.86,-0.138
166000,7.86,-0.13
158000,7.86,-0.121
151000,7.86,-0.114
145000,7.87,-0.11
138000,7.87,-0.102
132000,7.87,-0.0979
126000,7.87,-0.0916
120000,7.87,-0.0874
115000,7.87,-0.0808
110000,7.87,-0.0771
105000,7.88,-0.0715
100000,7.88,-0.0697
95500,7.88,-0.0623
91200,7.88,-0.0596
87100,7.88,-0.0565
83200,7.88,-0.0499
79400,7.88,-0.0489
75900,7.88,-0.0461
72400,7.89,-0.0426
69200,7.89,-0.0377
66100,7.89,-0.037
63100,7.9,-0.0348
60300,7.89,-0.0308
57500,7.89,-0.0285
55000,7.89,-0.0223
52500,7.89,-0.0219
50100,7.89,-0.0218
47900,7.89,-0.018
45700,7.89,-0.0173
43700,7.89,-0.0149
41700,7.9,-0.0136
39800,7.9,-0.0119
38000,7.9,-0.00815
36300,7.9,-0.00641
34700,7.9,-0.00594
33100,7.9,-0.00561
31600,7.9,-0.00123
30200,7.9,7.37E-04
28800,7.9,0.00138
27500,7.9,2.01E-04
26300,7.9,3.10E-04
25100,7.9,0.00491
24000,7.9,0.00604
22900,7.9,0.00761
21900,7.91,0.00978
20900,7.91,0.0108
20000,7.91,0.0116
19100,7.91,0.0114
18200,7.91,0.0131
17400,7.91,0.0148
16600,7.91,0.0176
15800,7.91,0.0179
15100,7.91,0.0195
14500,7.92,0.0187
13800,7.92,0.0213
13200,7.92,0.0214
12600,7.92,0.0214
12000,7.92,0.0221
11500,7.92,0.026
11000,7.92,0.0259
10500,7.92,0.0268
10000,7.93,0.0284
9550,7.92,0.0336
9120,7.93,0.0314
8710,7.93,0.0319
8320,7.92,0.0318
7940,7.93,0.0312
7590,7.93,0.0336
7240,7.93,0.0342
6920,7.93,0.0327
6610,7.94,0.0353
6310,7.93,0.0361
6030,7.94,0.0369
5750,7.94,0.0392
5500,7.94,0.0393
5250,7.94,0.0393
5010,7.94,0.0403
4790,7.94,0.0381
4570,7.95,0.0426
4370,7.95,0.0425
