2. SUS'SE'Li after 0.5 mAh plating,,
,,
Frequency,Zreal,-Zim
Hz,Ohm,Ohm
0,8.97246,-0.89962
954990,8.9875,-0.84063
912010,8.98532,-0.78828
870960,8.97435,-0.73187
831760,8.99689,-0.69237
794330,8.9991,-0.64624
758580,9.00512,-0.60619
724440,9.00645,-0.56533
691830,9.02622,-0.54032
660690,9.02372,-0.50593
630960,9.02537,-0.47349
602560,9.0397,-0.42713
575440,9.0519,-0.4203
549540,9.04528,-0.40113
524810,9.04545,-0.37149
501190,9.06824,-0.3426
478630,9.06821,-0.32749
457090,9.07707,-0.30769
436520,9.07605,-0.29136
416870,9.09109,-0.25098
398110,9.08601,-0.23923
380190,9.09733,-0.22953
363080,9.11232,-0.20267
346740,9.11952,-0.20538
331130,9.10488,-0.18654
316230,9.12168,-0.16672
302000,9.12631,-0.16049
288400,9.1524,-0.13891
275420,9.16161,-0.12667
263030,9.16628,-0.11605
251190,9.17311,-0.10967
239880,9.17831,-0.09887
229090,9.1868,-0.09134
218780,9.19097,-0.08337
208930,9.19793,-0.07731
199530,9.19923,-0.07187
190550,9.2069,-0.06488
181970,9.21103,-0.05931
173780,9.21668,-0.05259
165960,9.2202,-0.04868
158490,9.22428,-0.04252
151360,9.22962,-0.03833
144540,9.22947,-0.03466
138040,9.23262,-0.02815
131830,9.2348,-0.02718
125890,9.23796,-0.02393
120230,9.24308,-0.01951
114820,9.24599,-0.01615
109650,9.24941,-0.01353
104710,9.25157,-0.01116
100000,9.25328,-0.00599
95499,9.25356,-0.00371
91201,9.26031,-0.00391
87096,9.26038,6.91E-04
83176,9.26197,0.00123
79433,9.26419,0.00468
75858,9.26884,0.00675
72444,9.27071,0.00752
69183,9.27209,0.0098
66069,9.2709,0.01298
63096,9.26935,0.01308
60256,9.27645,0.01523
57544,9.27784,0.01681
54954,9.28031,0.01646
52481,9.27945,0.01956
50119,9.28116,0.01854
47863,9.28408,0.02278
45709,9.28446,0.02124
43652,9.28931,0.02339
41687,9.2899,0.02641
39811,9.28826,0.02456
38019,9.29141,0.0252
36308,9.29213,0.02802
34674,9.29459,0.02884
33113,9.29531,0.03098
31623,9.29572,0.03209
30200,9.29631,0.03493
28840,9.2944,0.03204
27542,9.29906,0.03212
26303,9.30196,0.03369
25119,9.29902,0.03649
23988,9.30162,0.03641
22909,9.30403,0.03816
21878,9.30552,0.03808
20893,9.30714,0.03897
19953,9.30634,0.03886
19055,9.31024,0.04214
18197,9.31127,0.04188
17378,9.31153,0.04528
16596,9.31329,0.04386
15849,9.31558,0.04089
15136,9.31672,0.04492
14454,9.3195,0.04432
13804,9.3224,0.05173
13183,9.32393,0.04849
12589,9.32403,0.05112
12023,9.32109,0.04884
11482,9.32635,0.04878
10965,9.32869,0.05099
10471,9.32984,0.0556
10000,9.3309,0.05578
9549.90039,9.33321,0.05738
9120.09961,9.33301,0.05692
8709.59961,9.33526,0.05516
8317.59961,9.33546,0.05971
7943.2998,9.33893,0.06121
7585.7998,9.34143,0.05954
7244.3999,9.34238,0.05998
6918.2998,9.34328,0.0626
6606.8999,9.34423,0.0617
6309.6001,9.3474,0.06335
6025.6001,9.34869,0.06567
5754.3999,9.34966,0.06665
5495.3999,9.35261,0.06739
5248.1001,9.35577,0.07086
5011.8999,9.35728,0.0701
4786.2998,9.3606,0.07135
4570.8999,9.36193,0.07371
4365.2002,9.3658,0.07238
4168.7002,9.36445,0.07483
3981.1001,9.36361,0.07485
3801.8999,9.36791,0.07568
3630.80005,9.37059,0.07881
3467.3999,9.37277,0.07943
3311.30005,9.37444,0.08212
3162.30005,9.37729,0.0831
3020,9.37904,0.08154
2884,9.37939,0.08572
2754.19995,9.38196,0.08476
2630.30005,9.38592,0.08715
2511.8999,9.39016,0.08973
2398.80005,9.38998,0.09089
2290.8999,9.39508,0.09265
